Latin Name,Common Name,Community,Vegetation Type
Quercus coccinea,scarlet oak,Piedmont Acidic Oak Hickory Woodland,tree
Quercus falcata,southern red oak,Piedmont Acidic Oak Hickory Woodland,tree
Quercus fernowii,Fernow oak (alba x stellata),Piedmont Acidic Oak Hickory Woodland,tree
Quercus montana,chestnut oak,Piedmont Acidic Oak Hickory Woodland,tree
Quercus rubra,red oak,Piedmont Acidic Oak Hickory Woodland,tree
Quercus stellata,post oak,Piedmont Acidic Oak Hickory Woodland,tree
Quercus velutina,black oak,Piedmont Acidic Oak Hickory Woodland,tree
Rhexia virginica,Virginia meadow beauty,Piedmont Prairie (acidic wet variant),flowering forb
Rhododendron periclymenoides,wild azalea,Piedmont Acidic Oak Hickory Woodland,shrub
Robinia pseudoacacia,black locust ,Piedmont Acidic Oak Hickory Woodland,tree
Rosa carolina,Carolina rose,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),shrub
Rosa carolina,Carolina rose,Piedmont Acidic Oak Hickory Woodland,shrub
Rosa palustris,swamp rose,Piedmont Prairie (acidic wet variant),shrub
Rubus flagellaris,common dewberry,Piedmont Acidic Oak Hickory Woodland,shrub
Rubus occidentalis,black raspberry,Piedmont Acidic Oak Hickory Woodland,shrub
Rubus pensilvanicus,Pennsylvania blackberry,Piedmont Acidic Oak Hickory Woodland,shrub
Rubus pensilvanicus,Pennsylvania blackberry,Piedmont Prairie (acidic wet variant),shrub
Rudbeckia hirta,black-eyed Susan,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Ruellia caroliniensis,Carolina wild petunia,Piedmont Acidic Oak Hickory Woodland,flowering forb
Sagittaria latifola,broad-leaved arrowhead,Piedmont Prairie (acidic wet variant),flowering forb
Salix sericea,silky willow,Piedmont Prairie (acidic wet variant),shrub
Sambucus canadensis,American elderberry,Piedmont Prairie (acidic wet variant),shrub
Sassafras albidum,sassafras,Piedmont Acidic Oak Hickory Woodland,tree
Schizachyrium scoparium,little bluestem,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),graminoid
Scirpus georgianus,Georgia bulrush,Piedmont Prairie (acidic wet variant),graminoid
Scirpus polyphyllus,leafy bulrush,Piedmont Prairie (acidic wet variant),graminoid
Scutellaria elliptica,hairy skullcap,Piedmont Acidic Oak Hickory Woodland,flowering forb
Scutellaria integrifolia,hyssop skullcap,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Scutellaria integrifolia,hyssop skullcap,Piedmont Prairie (acidic wet variant),flowering forb
Sericocarpus asteroides,toothed white-topped aster,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Silene stellata,starry campion,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Silphium asteriscus var. trifoliatum,whorled rosinweed,Piedmont Acidic Oak Hickory Woodland,flowering forb
Sisyrinchium angustifolium,narrow-leaf blue-eyed grass,Piedmont Prairie (acidic wet variant),flowering forb
Sisyrynchium angustifolium,narrow-leaf blue-eyed grass,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Smilax glauca,white-leaf greenbrier,Piedmont Acidic Oak Hickory Woodland,vine
Smilax rotundifolia,common greenbrier,Piedmont Acidic Oak Hickory Woodland,vine
Solanum carolinense,horse-nettle,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Solanum carolinense,horse-nettle,Piedmont Prairie (acidic wet variant),flowering forb
Solidago altissima,tall goldenrod,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Solidago altissima,tall goldenrod,Piedmont Prairie (acidic wet variant),flowering forb
Solidago caesia,blue-stemmed goldenrod,Piedmont Acidic Oak Hickory Woodland,flowering forb
Solidago canadensis,Canada goldenrod,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Solidago erecta,slender goldenrod,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Solidago gigantea,late goldenrod,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Solidago gigantea,late goldenrod,Piedmont Prairie (acidic wet variant),flowering forb
Solidago juncea,early goldenrod,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Solidago nemoralis,gray goldenrod,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Solidago rugosa,rough-stemmed goldenrod,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Solidago rugosa,rough-leaved goldenrod,Piedmont Prairie (acidic wet variant),flowering forb
Solidago speciosa,showy goldenrod,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Sphenopholis nitida,shiny wedgegrass,Piedmont Acidic Oak Hickory Woodland,graminoid
Stellaria pubera,star chickweed,Piedmont Acidic Oak Hickory Woodland,flowering forb
Stylosanthes biflora,pencilflower,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Symphyotrichum dumosum,bushy aster,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
